FRAME_STOCK,SPEED,TIME/STRIP,PACKAGE_CODE
FR0434,3.0,270.48,ND-300E300B010P
FR0434,3.0,270.48,ND-300S300B010P
FR0434,3.0,270.48,NDC300E300B010P
FR0434,3.0,270.48,TD-300E300B010D
FR0434,3.0,270.48,TD-300E300B010P
FR0434,3.0,270.48,TDC300E300B010P
FR0437,5.0,198.51,TQ-500E700B038A
FR0437,5.0,198.51,TQ-500E700B038K
FR0437,5.0,198.51,TQ-500M700B038A
FR0437,5.0,198.51,TQC500E700B038A
FR0437,5.0,198.51,TQC500E700B038K
FR0445,5.0,165.43,NQ-600E600A048A
FR0445,5.0,165.43,NQ-600M600A048A
FR0445,5.0,165.43,NQC600E600A048A
FR0445,5.0,165.43,NQC600S600A048A
FR0445,5.0,165.43,NQC600S600A048K
FR0445,5.0,165.43,TQ-600E600A048A
FR0445,5.0,165.43,TQ-600S600A048A
FR0450,5.0,141.84,NQ-900E900B064A
FR0453,3.0,343.97,TD-250S200Z004D
FR0453,3.0,343.97,TD-250S200Z004P
FR0461,3.0,247.36,ND-320S250P004P
FR0461,3.0,247.36,TD-320S250P004P
FR0475,3.0,157.66,NQ-750E750A064P
FR0475,3.0,157.66,TQ-750E750A064P
FR0483,3.0,498.8,ND-150E150B006P
FR0483,3.0,498.8,TD-150E150B006P
FR0484,5.0,244.05,TQ-400E400B024A
FR0485,5.0,240.72,NQ-500E5001020A
FR0485,5.0,240.72,NQ-500E5001020E
FR0485,5.0,240.72,NQ-500E5001020U
FR0485,5.0,240.72,NQ-500E500C020A
FR0485,5.0,240.72,NQ-500E500C020E
FR0485,5.0,240.72,NQ-500E500C020K
FR0485,5.0,240.72,NQ-500E500C020U
FR0485,5.0,240.72,NQ-500E500X020A
FR0485,5.0,240.72,NQ-500E500X020E
FR0485,5.0,240.72,NQ-500E500X020U
FR0485,5.0,240.72,NQC500E5001020E
FR0485,5.0,240.72,NQC500E5001020U
FR0485,5.0,240.72,NQC500E500C020A
FR0485,5.0,240.72,NQC500E500C020E
FR0485,5.0,240.72,NQC500E500C020U
FR0485,5.0,240.72,NQC500E500X020A
