FRAME_STOCK,SPEED (IPS),TIME/STRIP,PACKAGE_CODE,Package size ,Package group,Frame type ,Unit/strip,Process,Before_Outlier,After_Outlier
FR0230,5.0,355.65,ND-300E300C008A,3X3,QFN,Copper ,1170.0,,6.0,6.0
FR0250,5.0,179.76,NQ-700E7001056A,7X7,SLP,Copper ,240.0,Full Cut,3.0,3.0
FR0259,5.0,230.31,NQ-400E400B020A,4X4,QFN,Copper ,700.0,,13.0,13.0
FR0260,5.0,169.51,MQ-300E500B024K,5X3,QFN,Copper ,715.0,,1.0,1.0
FR0264,3.0,283.07,ND-700S500Z004D,5X7,QFN,Full PPF,320.0,,2.0,2.0
FR0274,3.0,456.5,TD-300E200B008A,2X3,QFN,Full PPF,1710.0,,1.0,1.0
FR0314,5.0,160.9,TQ-700E800B052A,8X7,QFN,Copper ,210.0,,2.0,2.0
FR0345,3.0,302.3,ND-200E300B008P,3X2,QFN,Full PPF,1690.0,,1.0,1.0
FR0370,5.0,144.85,NQ-400E500B028A,5X4,QFN,Copper ,550.0,,1.0,1.0
FR0371,5.0,184.66,TQ-500E600B028A,6X5,QFN,Copper ,360.0,,3.0,3.0
FR0383,5.0,129.39,TQ-900E900B064A,9X9,QFN,Copper ,120.0,,5.0,3.0
FR0437,5.0,195.67,TQ-500E700B038A,7X5,QFN,Copper ,320.0,,1.0,1.0
FR0445,5.0,194.55,NQ-600E600A048A,6X6,QFN,Copper ,315.0,,7.0,7.0
FR0453,3.0,335.14,TD-250S200Z004D,2.5X2.2,QFN,Full PPF,1995.0,,1.0,1.0
FR0461,3.0,245.82,ND-320S250P004P,2.5X3.2,QFN,Full PPF,1275.0,,1.0,1.0
FR0467,5.0,230.31,NQ-400E400A032A,4X4,QFN,Copper ,700.0,,13.0,13.0
FR0507,3.0,203.93,NQ-500E5001040A,5X5,SLP,Full PPF,440.0,Step Cut,2.0,2.0
FR0521,4.0,225.33,ND-700M500R006P,5X7,QFN,Selective PPF,320.0,,1.0,1.0
FR0551,5.0,325.53,TD-200E200M008A,2X2,QFN,Copper ,2470.0,,2.0,2.0
FR0574,3.0,201.89,ND-500E600G008D,6X5,QFN,Full PPF,385.0,,2.0,2.0
FR0576,5.0,209.92,TD-450E400E008A,4X4.5,QFN,Copper ,600.0,,2.0,2.0
FR0624,3.0,165.73,NQ-800E800B056D,8X8,QFN,Full PPF,175.0,,3.0,3.0
FR0668,3.0,258.26,NQ-500E500B032A,5X5,QFN,Full PPF,440.0,,12.0,12.0
FR0674,5.0,193.46,TQ-300E600B028A,6X3,QFN,Copper ,585.0,,1.0,1.0
